"title","score","rank"
"Dorking: the use of search engines to find very specific data",71,1
"ZipPy: fast and lightweight Python 3 implementation using the Truffle framework",30,2
"SMT Solving on an iPhone (2018)",171,3
"Sweatpants Forever: How the Fashion Industry Collapsed",34,4
"Hiroshima (1946)",14,5
"Interview with Bill Gates on Covid, social media",64,6
"Adding a fiber link to my home network",192,7
"People work longer and different hours under lockdown",150,8
"Stopping deepfake news with an AI algorithm that can tell when a face doesnt fit",105,9
"Hardware Accelerator for Adversarial Attacks on Deep Learning Neural Networks",19,10
"Australia Fast-Tracks Plan to Send Solar Power to Singapore",15,11
"Obesity of politicians and corruption in post‐Soviet countries",16,12
"Show HN: Kowl – An Open Source WebUI for Apache Kafka with a good UI and UX",102,13
"Fire your bad customers",324,14
"The Reemergent 1977 H1N1 Strain and the Gain-of-Function Debate (2015)",47,15
"Algorithmic Theories of Everything",28,16
"Vertigo – a public domain 3D flight simulator (2003)",100,17
"EFF Defends Public’s Right to Access Court Records About Patent Ownership",185,18
"Great Retsina, an Oxymoron No More",13,19
"5G Just Got Weird",78,20
"More than 23% of Tor exit relays operated by a single malicious actor",15,21
"Going the Other Way",9,22
"Reverse Engineering for Beginners [pdf]",59,23
"How I got my Japanese permanent residency",99,24
"90% economy, 120% gastronomy: Covid-19 seems to have changed lifestyles for good",14,25
"Beyond Mantel: Historical novels",5,26
"Signal Reflection",7,27
"The ‘-ize’ have it (2012)",80,28
"Haskell In New Clothes",102,29
"No flourish was too much",17,30
