"title","score","rank"
"Single Page Applications using Rust",77,1
"Show HN: EventNative – An open-source, user event collection service",60,2
"Creating a QR Code step by step",130,3
"The day I accidentally built a nudity/porn platform",300,4
"Emulating Windows system calls in Linux",35,5
"Show HN: A newsletter about mental models and rational thinking",15,6
"The Chrome Extensions I Can't Live Without",33,7
"The case for why Google should be regulated as a public utility",15,8
"Mozilla lays off 250 employees while it refocuses on commercial products",24,9
"The periodic table, colour coded by the likely origin of each element",66,10
"How to stop procrastinating by using the Fogg Behavior Model",19,11
"Launch HN: Xkit (YC S18) – OAuth infrastructure as a service",4,12
"MicroStrategy Adopts Bitcoin as Primary Treasury Reserve Asset",112,13
"Golang Desktop App with Webview/Lorca, WASM and Bazel",124,14
"We Can Do Better Than SQL",349,15
"Belarus Has Shut Down the Internet Amid a Controversial Election",58,16
"The telephone transformed – into almost everything (1993)",18,17
"Let’s implement a Bloom Filter",177,18
"Secret Landscape: America's cold war infrastructure",46,19
"BuckleScript Is Rebranding",19,20
"Communities Test “Time Credits”, a New Form of Currency",62,21
"Lenovo’s Fedora-Powered ThinkPad P53 Is Everything I Want in a Linux Laptop",8,22
"Planet Ceres is an 'ocean world' with sea water beneath surface, mission finds",567,23
"Losses at Revolut more than triple to £106m",6,24
"The mesmerizing geometry of Malaysia’s most complex cakes",100,25
"PDF: Still unfit for human consumption, 20 years later",319,26
"Cheri C/C++ Programming Guide: Capability Hardware Enhanced RISC Instructions [pdf]",31,27
"Bernard Bailyn, Eminent Historian of Early America, Dies at 97",22,28
"What's it like to be an Octopus? (2017)",306,29
"Launch HN: Rally.Video (YC S20) – Dynamic video platform for social groups",174,30
