"name","country","halls","booths","website"
"Abysse Corp","France","02.105.2","A034A042",
"osome studio","France","03.2","D017h",
"SwissGames Swiss Arts Council Pro Helvetia","Switzerland","04.1","D022 E021",
"12 Hit Combo! S.A.S.","Colombia","03.2","A009a",
"1C Publishing EU s.r.o.","Czech Republic","02.110.1","D021A010a",
"2wegames","Korea, Republic of","04.1","D024b",
"2x2 Games (Dvaput DVA d.o.o.)","Croatia","04.1","E026a",
"37 Interactive Entertainment (Shanghai) Technology Co., Ltd.","China","02.1","A023b",
"3drudder","France","03.2","C017h",
"4-Real Intermedia GmbH","Germany","02.1","C024a",
"4U2PLAY GmbH","Germany","05.2","C041",
"505 Games Ltd.","United Kingdom","03.2","C015aD014a",
"505 GAMES","France","03.2","C017b",
"A.I. SAS DI M.MOSTARDINI","Italy","05.2","A043",
"Acronis Germany GmbH","Germany","02.1","B012aA011a",
"Activision Blizzard Deutschland GmbH","Germany","04.110.2","A020A052",
"AD VERBUM Ltd.","Latvia","02.1","D024",
"ad2games GmbH","Germany","02.1","D010",
"ADIA Entertainment Ltd.","China","","",
"admitad GmbH","Germany","02.1","D007",
